date,title,summary
2026-03-21,Iran War Live Updates: U.S. Lifts Sanctions on Iranian Oil as War Enters Fourth Week,The move reversed earlier efforts to impose “maximum pressure” on the country and reflected how little success the Trump administration has achieved in calming global markets.
2026-03-21,"Zelensky Sends Negotiators to the U.S., Hoping to Revive Peace Talks",The Ukrainian president has said he has a “very bad feeling” about the effects of the Iran conflict on Ukraine’s own war.
2026-03-21,"Iranian Sailors, Including Survivors of Torpedoed Ship, Remain in Limbo","Sri Lanka has kept more than 250 sailors in protective custody since the early days of the war. Iran wants them back, but Sri Lanka is unsure what to do with them."
2026-03-21,A Public Holiday Every Week? Sri Lankans Bemoan the Enforced Day Off.,"The island’s government, rationing fuel amid shortages from the Iran war, surprised residents by imposing an unusual four-day week."
2026-03-21,Middle East War Leaves Hamas Balancing Allies on Opposite Sides,"The Palestinian militant group, which has ties to both Iran and Qatar, is “walking on a knife’s edge,” an analyst said."
2026-03-21,Canada Shifts From Peacekeeping to Building a Strong Military,Prime Minister Mark Carney’s latest global tour emphasized military cooperation rather than developing trade ties.
2026-03-20,Here’s What Happened in the War in Iran in Its Third Week,The Persian new year and the end of the holy month of Ramadan were marked by continuing strikes in the region as the war reached the end of its third week.
2026-03-20,U.S. Attacks Iranian Targets to Try to Open Strait of Hormuz,"The Israeli military said it had killed the spokesman for Iran’s Islamic Revolutionary Guards Corps, and Iran warned that it could target American and Israeli military personnel."
2026-03-20,Switzerland Blocks Arms Sales to U.S. Over Iran War,"Swiss law prohibits selling war materiel to countries involved in armed conflict, a policy the country has already cited to block sales to Israel and Iran."
2026-03-20,U.K. Allows U.S. to Use Bases to Hit Iranian Forces Menacing Strait Traffic,"Prime Minister Keir Starmer has vowed not to be dragged into the war with Iran, but his government described its new position as essentially defensive."
2026-03-20,Energy facilities have been a potent target in the war.,
2026-03-20,Denmark Was Ready to Blow Up Airfields to Stop a U.S. Invasion of Greenland,"The Danes brought blood supplies, explosives and live ammunition to Greenland as part of contingency plans in case President Trump acted on his threats to seize the island."
2026-03-20,"Shigeaki Mori, Hiroshima Survivor Photographed With Obama, Dies at 88",He lived through the first atomic bombing in Japan and then spent decades researching the identities of 12 American P.O.W.s killed in the attack.
2026-03-20,U.S. Dispatches Marines and Warships to Middle East,"Officials said 2,500 Marines from 11th Marine Expeditionary Unit in California and the U.S.S. Boxer amphibious ready group will go in April to relieve Marines already deployed in the Persian Gulf."
2026-03-20,NATO Pulls Last Military Trainers From Iraq Amid Strikes From Iran,"The NATO mission, created in 2018, trained and advised Iraqi forces. Iraq is among the countries facing retaliatory attacks from the U.S.-Israeli war."
2026-03-21,War-Weary Lebanon Marks Eid With Muted Celebration,"For families displaced by Israeli airstrikes, the joy that usually marks the end of Ramadan has been replaced by uncertainty and hardship."
2026-03-20,"In Photos: The War in Ukraine, After 4 Years",A photographic chronicle of Russia’s invasion.
2026-03-20,Iran War Underscores the Diverging Aims of Trump and Netanyahu,"The United States views Iran through a prism of global responsibilities and strategic goals. Israel has a more regional approach. After nearly three weeks of war, their paths are diverging."
2026-03-20,U.S. Asked to Keep Military Planes in Sri Lanka Before Iran Airstrikes,"Sri Lanka did not agree to the request, officials said, and has tried to remain neutral in the U.S.-Israeli war in Iran."
2026-03-20,A Diary of War From an Unlikely Author: the Son of Iran’s President,"In an online journal, Yousef Pezeshkian offers readers a mix of personal anecdotes and glimpses behind the scenes as Iranian leaders are picked off one after another."
